@RELATION te_cnn_aae_embeddings

@ATTRIBUTE z0 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE z10 NUMERIC
@ATTRIBUTE z11 NUMERIC
@ATTRIBUTE z12 NUMERIC
@ATTRIBUTE z13 NUMERIC
@ATTRIBUTE z14 NUMERIC
@ATTRIBUTE z15 NUMERIC
@ATTRIBUTE z16 NUMERIC
@ATTRIBUTE z17 NUMERIC
@ATTRIBUTE z18 NUMERIC
@ATTRIBUTE z19 NUMERIC
@ATTRIBUTE z20 NUMERIC
@ATTRIBUTE z21 NUMERIC
@ATTRIBUTE z22 NUMERIC
@ATTRIBUTE z23 NUMERIC
@ATTRIBUTE z24 NUMERIC
@ATTRIBUTE z25 NUMERIC
@ATTRIBUTE z26 NUMERIC
@ATTRIBUTE z27 NUMERIC
@ATTRIBUTE z28 NUMERIC
@ATTRIBUTE z29 NUMERIC
@ATTRIBUTE z30 NUMERIC
@ATTRIBUTE z31 NUMERIC
@ATTRIBUTE z32 NUMERIC
@ATTRIBUTE z33 NUMERIC
@ATTRIBUTE z34 NUMERIC
@ATTRIBUTE z35 NUMERIC
@ATTRIBUTE z36 NUMERIC
@ATTRIBUTE z37 NUMERIC
@ATTRIBUTE z38 NUMERIC
@ATTRIBUTE z39 NUMERIC
@ATTRIBUTE z40 NUMERIC
@ATTRIBUTE z41 NUMERIC
@ATTRIBUTE z42 NUMERIC
@ATTRIBUTE z43 NUMERIC
@ATTRIBUTE z44 NUMERIC
@ATTRIBUTE z45 NUMERIC
@ATTRIBUTE z46 NUMERIC
@ATTRIBUTE z47 NUMERIC
@ATTRIBUTE z48 NUMERIC
@ATTRIBUTE z49 NUMERIC
@ATTRIBUTE z50 NUMERIC
@ATTRIBUTE z51 NUMERIC
@ATTRIBUTE z52 NUMERIC
@ATTRIBUTE z53 NUMERIC
@ATTRIBUTE z54 NUMERIC
@ATTRIBUTE z55 NUMERIC
@ATTRIBUTE z56 NUMERIC
@ATTRIBUTE z57 NUMERIC
@ATTRIBUTE z58 NUMERIC
@ATTRIBUTE z59 NUMERIC
@ATTRIBUTE z60 NUMERIC
@ATTRIBUTE z61 NUMERIC
@ATTRIBUTE z62 NUMERIC
@ATTRIBUTE z63 NUMERIC

@DATA
0.199335,-0.558552,-0.561817,-0.193619,-0.003912,-0.133705,0.147688,0.612232,-0.185600,0.136310,0.964670,0.163619,0.153821,0.903647,-0.180661,-0.061096,-0.997677,-0.329347,0.154616,0.212044,-1.185324,0.831217,0.084959,0.074588,-0.028893,0.701417,0.596682,1.185736,-0.121446,-0.952316,-1.019567,0.127870,1.023193,-0.180246,-0.100562,-0.107887,0.224934,-0.160459,0.590556,0.079687,0.277029,0.585535,0.336396,-0.012577,0.042341,-1.132057,1.174438,-0.600911,-0.618332,1.086802,0.907629,-0.522583,0.147716,1.298523,0.273584,-0.031414,1.247204,-0.200601,-0.115007,0.290388,-0.622200,-0.352584,-0.164266,0.148730
-0.599663,-0.593018,0.130158,0.009937,-0.543758,-0.059267,0.276086,0.170646,-0.786597,-0.103142,0.515685,1.137996,0.125788,1.362139,0.558363,-0.461400,-1.101861,0.485329,-0.045212,1.083345,-1.070136,1.073190,0.761807,0.497208,-1.070945,1.579168,0.776291,0.734198,0.113233,-1.366014,-1.036387,0.383764,1.357482,-0.520273,-0.474055,-0.395243,0.384506,-1.192158,-0.515202,0.511450,0.265448,0.512673,0.020527,0.440720,0.111296,-1.518788,1.346823,-0.797799,-0.728421,0.266690,1.194573,0.371593,0.216252,1.960876,0.410417,0.304140,2.162593,-0.713885,-0.557619,0.735580,-1.043758,-0.212576,-1.270617,0.774778
-0.347256,0.871817,0.255967,0.064489,0.869087,0.294513,-0.261663,-0.618523,1.835597,0.678459,-0.743034,-0.325186,-0.318723,-0.545947,0.277939,-0.418061,0.726331,0.534270,-0.386874,-0.760395,0.352758,-0.613590,-0.364567,-0.962589,0.265788,-0.519978,-0.691952,-0.925324,0.945624,0.587250,0.862818,-0.634271,-0.723658,0.870197,1.441027,1.101604,-1.703736,0.894830,-0.411058,-0.975719,-0.965103,-0.254464,-0.481854,-0.490127,0.086762,1.127536,-0.511558,0.425137,0.649130,-0.549839,-0.689186,0.680011,-0.168192,-0.562287,-1.363090,-0.841600,-0.668871,0.999798,1.514954,-0.525383,0.484842,0.716655,0.280315,-0.319648
-0.292571,0.908394,0.050189,0.433198,0.842552,0.226155,-0.655573,-0.358573,1.653531,0.551918,-0.524443,-0.727408,0.275029,-0.414185,0.775617,-0.012255,0.442934,0.630147,-0.196684,-0.576632,0.154795,-0.383957,-0.927578,-1.083311,0.195451,-0.414255,0.234449,-0.190114,1.092909,0.254762,0.407909,-0.461383,-0.089269,0.663250,1.570219,1.083116,-1.179161,0.758649,-0.011334,-0.521811,-0.627961,0.090914,-0.211185,-0.925215,0.636076,0.755395,-0.236111,0.151327,-0.018748,-0.120997,-0.445074,-0.020507,-0.432233,-0.314486,-1.194258,-0.969704,-0.522297,1.149518,1.248878,0.379885,0.158830,0.407017,0.783920,-1.177764
0.130789,-0.691295,-0.771203,0.009344,0.431013,0.030971,-0.133665,0.691952,-0.220403,0.472399,0.719080,-0.353088,0.154683,0.830555,-0.326780,0.264562,-1.097494,-0.241299,0.109329,-0.350205,-1.228946,1.060472,0.137265,-0.109490,-0.494309,1.119060,0.726270,1.058935,0.189581,-0.626034,-0.462444,-0.113816,0.940191,-0.171864,-0.110954,0.052448,-0.116264,0.175696,0.495281,-0.119016,-0.184627,0.507968,0.568290,0.028009,-0.230752,-0.821664,1.202968,-0.400108,-0.433624,1.102304,1.045038,-0.557316,0.464428,1.110951,-0.550391,-0.079550,1.081767,-0.096775,0.204536,0.529303,-0.710252,-0.136079,-0.515538,0.401943
0.145217,-0.703959,-0.283611,-0.186070,-0.233551,-0.145192,0.204140,0.307058,-0.283447,0.000984,0.886066,0.238326,-0.026027,1.079055,-0.387000,-0.019144,-0.962538,-0.281341,-0.035820,0.178935,-1.167191,0.875767,0.116877,0.065779,-0.050999,0.739999,0.731042,1.068439,0.064667,-1.053218,-1.049126,0.001325,1.003691,-0.189998,-0.205345,-0.244363,0.232631,-0.146445,0.387095,0.160591,0.075566,0.432113,0.576687,0.276987,-0.189726,-1.353108,1.141509,-0.485960,-0.485039,0.826655,0.829181,-0.359144,0.226439,1.188104,0.266996,0.021449,1.366279,-0.247817,-0.190070,0.234058,-0.696525,-0.407696,-0.042275,0.184428
0.021178,-0.118586,-0.283321,-0.032105,-0.817187,-0.495648,0.369598,0.334215,-0.527921,-0.492051,0.737443,0.705312,0.333584,1.269927,-0.603920,-0.325893,-0.905856,-0.665754,0.171350,0.418313,-1.221132,0.802030,0.642895,0.454481,-0.247304,0.972384,0.775988,0.947232,-0.247092,-1.176632,-0.695425,0.074570,1.072233,-0.186496,-0.548551,-0.603917,0.337145,-0.465910,0.157717,0.248765,0.291933,0.767559,0.436401,0.485839,0.031670,-1.443569,1.273171,-0.716019,-0.335580,0.876311,1.070605,-0.351131,0.437266,1.572033,0.818390,0.317162,1.970301,-0.313803,-0.489186,0.079898,-0.969601,-0.661673,-0.159032,0.591486
-0.475058,0.517349,-0.767130,0.982642,0.364928,-0.093405,-0.694191,0.567328,0.579252,-0.068227,0.631574,-0.531028,0.126728,0.319921,0.158795,0.290618,-0.433938,-0.652745,0.165603,-1.336938,-0.644215,0.119577,0.153731,-0.788901,0.800645,0.531662,0.335765,0.498176,0.885496,-0.479530,-0.204560,-1.109666,0.430976,0.584619,0.506142,1.053622,-1.049973,1.001665,0.618154,-0.477635,0.218621,-0.039099,0.482406,-1.073897,0.983540,-0.197329,0.477132,-0.920284,-0.961309,0.601688,0.133516,-0.291156,0.874854,0.369065,-0.387030,-0.952091,0.469409,0.715702,-0.229237,-0.288141,-0.251065,-0.323681,1.554156,-0.638170
0.091503,-0.697066,-0.186613,-0.268619,-0.152903,-0.199749,0.141758,0.291635,-0.393062,-0.085918,0.738482,0.160624,-0.064422,1.140140,-0.284055,-0.146760,-0.909835,-0.353010,0.089004,0.248855,-1.124277,0.922517,0.215775,0.089246,-0.309787,0.783494,1.010758,1.243122,-0.001414,-0.931293,-1.021275,0.089567,1.254851,-0.240760,-0.256897,-0.165858,0.312452,-0.217126,0.334686,0.186541,0.514564,0.249214,0.755863,0.292333,0.102188,-1.272112,1.233426,-0.511314,-0.740265,0.887547,1.065969,-0.530731,0.247969,1.301986,0.322170,0.112422,1.452269,-0.342735,-0.396281,0.213173,-0.667968,-0.272244,-0.371093,0.215973
-0.287987,-0.154707,-0.395105,0.103700,0.901964,0.798714,-0.460302,0.369282,1.158663,0.744552,0.696072,-0.186233,-1.100809,0.441655,-0.353825,1.115654,-0.271390,0.754745,-0.373264,-0.985901,-0.246300,0.204686,-0.759846,-1.299461,0.477680,0.747905,0.052982,-0.055327,1.020412,-0.225523,-0.879976,-0.649717,0.117924,0.636272,1.298075,0.465952,-0.668676,0.252874,0.054970,-0.496401,-1.035710,-0.013611,0.077746,-0.537440,0.341547,-0.330612,0.237464,-0.659726,-0.209328,-0.162618,0.118568,0.381534,0.500527,0.311073,-0.598924,-0.637391,0.422206,0.950225,0.561560,0.317294,-0.575837,0.050546,0.213315,-0.216371
